nifext_5234,NIFMOL:nifext_5234
nifext_5081,NIFMOL:nifext_5081
nifext_7251,NIFMOL:nifext_7251
nifext_7143,NIFMOL:nifext_7143
nifext_7241,NIFMOL:nifext_7241
nifext_6235,NIFMOL:nifext_6235
nifext_7133,NIFMOL:nifext_7133
nifext_7113,NIFMOL:nifext_7113
nlx_99897,
CHEBI:2611,
CHEBI:51211,
DB00770,
DB00386,
DB00009,
PATO_0002083,OBO:PATO_0002083
nlx_149542,
PATO_0001932,OBO:PATO_0001932
nlx_146169,
PATO_0000999,OBO:PATO_0000999
birnlex_2381,NIFINV:birnlex_2381
DB00488,
DB01616,
birnlex_1510,NIFGA:birnlex_1510
birnlex_2092,NIFDYS:birnlex_2092
nlx_158403,
CHEBI:2618,
DB01122,
CHEBI:31199,
DB01163,
nlx_28490,
birnlex_426,NIFORG:birnlex_426
birnlex_629,NIFORG:birnlex_629
nlx_158071,
birnlex_1044,NIFGA:birnlex_1044
CHEBI:2636,
CHEBI:2637,
CHEBI:2639,
nlx_148084,
sao1511566913,NIFMOL:sao1511566913
nifext_5006,NIFMOL:nifext_5006
DB00513,
DB00357,
DB00345,
DB00855,
DB01424,
DB01223,
DB00233,
CHEBI:2663,
CHEBI:2666,
DB01025,
DB00381,
nlx_151337,
birnlex_264,NIFORG:birnlex_264
CHEBI:2673,
CHEBI:2674,
PATO_0001332,OBO:PATO_0001332
sao1531915298,NIFSUB:sao1531915298
PATO_0000070,OBO:PATO_0000070
DB00543,
CHEBI:2676,
birnlex_2275,NIFINV:birnlex_2275
CHEBI:2679,
birnlex_12709,NIFDYS:birnlex_12709
birnlex_394,NIFORG:birnlex_394
birnlex_164,NIFORG:birnlex_164
DB00681,
CHEBI:28971,
nlx_27076,
PATO_0000080,OBO:PATO_0000080
CHEBI:40050,
nlx_151879,
CHEBI:2687,
nlx_143678,
birnlex_1241,NIFGA:birnlex_1241
nlx_149090,
nlx_149091,
nlx_149093,
nifext_152,NIFCELL:nifext_152
nlx_149095,
nlx_149094,
nlx_151532,
nlx_12298,
nlx_br_927,
nlx_152001,
CHEBI:2691,
nifext_5135,NIFMOL:nifext_5135
sao4785563283,NIFSUB:sao4785563283
sao1342297498,NIFSUB:sao1342297498
sao1143333050,NIFMOL:sao1143333050
sao7278684532,NIFMOL:sao7278684532
PATO_0001539,OBO:PATO_0001539
birnlex_12566,NIFDYS:birnlex_12566
CHEBI:36413,
CHEBI:50786,
birnlex_7282,NIFORG:birnlex_7282
PATO_0001456,OBO:PATO_0001456
PATO_0001460,OBO:PATO_0001460
DB00261,
DB00026,
nlx_res_20090420,NIFRES:nlx_res_20090420
nifext_5266,NIFMOL:nifext_5266
nifext_5023,NIFMOL:nifext_5023
nifext_5584,NIFMOL:nifext_5584
nifext_5585,NIFMOL:nifext_5585
nifext_6245,NIFMOL:nifext_6245
nifext_6592,NIFMOL:nifext_6592
PATO_0002092,OBO:PATO_0002092
birnlex_551,NIFORG:birnlex_551
DB01217,
nlx_149543,
nlx_149614,
nlx_149545,
nlx_149546,
sao7122682114,SAOCORE:sao7122682114
sao732945962,NIFQUAL:sao732945962
birnlex_1011,NIFGA:birnlex_1011
birnlex_6,BIRNOBO:birnlex_6
nlx_inv_100604,NIFSCID:nlx_inv_100604
nlx_inv_100605,NIFSCID:nlx_inv_100605
nlx_149547,
nlx_149548,
nlx_149549,
nlx_158272,
nlx_17889,
PATO_0001385,OBO:PATO_0001385
nlx_149444,
nlx_149550,
nifext_5025,NIFMOL:nifext_5025
nifext_5740,NIFMOL:nifext_5740
PATO_0000133,OBO:PATO_0000133
nlx_149551,
PATO_0001977,OBO:PATO_0001977
nlx_149552,
nlx_149553,
nlx_149554,
PATO_0001350,OBO:PATO_0001350
birnlex_1376,NIFGA:birnlex_1376
PATO_0000133,OBO:PATO_0000133
birnlex_4012,NIFGA:birnlex_4012
PATO_0001413,OBO:PATO_0001413
DB00362,
DB00913,
nlx_143632,
nlx_39801,
nlx_157943,
nlx_146171,
nlx_inv_100606,NIFSCID:nlx_inv_100606
birnlex_7103,NIFORG:birnlex_7103
nlx_inv_090901,NIFINV:nlx_inv_090901
CHEBI:22563,
nifext_5240,NIFMOL:nifext_5240
DB01125,
CHEBI:2739,
DB00029,
birnlex_1391,NIFGA:birnlex_1391
birnlex_354,NIFORG:birnlex_354
birnlex_342,NIFORG:birnlex_342
nlx_149555,
nlx_149556,
nlx_149557,
nlx_149558,
birnlex_637,NIFORG:birnlex_637
nlx_202,
nlx_87326,
nlx_br_75,
nlx_153088,
nlx_anat_20081256,NIFGA:nlx_anat_20081256
CHEBI:48706,
nlx_151563,
nlx_147690,
nlx_151565,
nlx_151564,
nlx_151689,
nlx_151688,
nlx_148073,
nlx_147720,
birnlex_12792,NIFDYS:birnlex_12792
nlx_151545,
nlx_379,NIFGA:nlx_379
nlx_144122,
nlx_153428,
birnlex_2698,NIFGA:birnlex_2698
birnlex_1330,NIFGA:birnlex_1330
birnlex_1072,NIFGA:birnlex_1072
nlx_152999,
nlx_153711,
nlx_153072,
nlx_153052,
nlx_153770,
nlx_153512,
nlx_152928,
nlx_153376,
nlx_153667,
nlx_153476,
nlx_153756,
nlx_153153,
nlx_153467,
nlx_153678,
nlx_153043,
nlx_153134,
nlx_152950,
nlx_153644,
birnlex_936,NIFGA:birnlex_936
birnlex_1603,NIFGA:birnlex_1603
birnlex_731,NIFGA:birnlex_731
birnlex_1557,NIFGA:birnlex_1557
birnlex_969,NIFGA:birnlex_969
nlx_143692,
"nlx_144088,birnlex_1557",
nlx_148482,
nlx_146718,
nlx_10637,
nlx_153317,
birnlex_1327,NIFGA:birnlex_1327
birnlex_1279,NIFGA:birnlex_1279
nlx_153108,
birnlex_1424,NIFGA:birnlex_1424
nlx_153704,
nlx_153780,
nlx_153079,
nlx_153519,
nlx_153048,
birnlex_1005,NIFGA:birnlex_1005
nlx_91346,
nlx_144257,NIFGA:nlx_144257
birnlex_1118,NIFGA:birnlex_1118
birnlex_1264,NIFGA:birnlex_1264
nlx_152094,
birnlex_1445,NIFGA:birnlex_1445
birnlex_998,NIFGA:birnlex_998
birnlex_1692,NIFGA:birnlex_1692
birnlex_1226,NIFGA:birnlex_1226
birnlex_1119,NIFGA:birnlex_1119
birnlex_1139,NIFGA:birnlex_1139
birnlex_1125,NIFGA:birnlex_1125
birnlex_4023,NIFGA:birnlex_4023
birnlex_1085,NIFGA:birnlex_1085
nlx_153687,
nlx_153664,
nlx_153424,
nlx_153032,
nlx_153199,
nlx_153474,
nlx_153369,
nlx_152598,
nlx_152597,
nlx_153541,
birnlex_1079,NIFGA:birnlex_1079
